审核项目名称,文件清单,文件路径,对应部门,通过标准,检测关键字,检测方式,调用模型,提示词,备注,父记录,需要修复
进出口单证复核&保管制度,单证归档管理制度（纸质）,一、加工贸易以及保税进出口业务/一-1 进出口单证复核&保管制度,单项标准,上传包括对应规定的单证复合流程、单证归档管理制度文件，上传即为通过,,上传即为通过,,,,,否
特殊物品单证,历年特殊物品单证文件夹,二、卫生检疫业务/二-2 特殊物品单证,单项标准,上传包括对应规定的单证复合流程、单证归档管理制度文件，上传即为通过,,上传即为通过,,,,,否
特殊物品安全管理制度,特殊物品-温控货物操作指导手册,二、卫生检疫业务/二-3 特殊物品安全管理制度,单项标准,上传包括对应规定的单证复合流程、单证归档管理制度文件，上传即为通过,,上传即为通过,,,,,否
特殊物品安全管理制度,单证归档管理制度（电子）,二、卫生检疫业务/二-3 特殊物品安全管理制度,单项标准,上传包括对应规定的单证复合流程、单证归档管理制度文件，上传即为通过,,上传即为通过,,,,,否
特殊物品安全管理制度,单证归档管理制度（纸质）,二、卫生检疫业务/二-3 特殊物品安全管理制度,单项标准,上传包括对应规定的单证复合流程、单证归档管理制度文件，上传即为通过,,上传即为通过,,,,,否
制度,仓库操作部木质包装管理制度,三、动植物检疫业务/三-4 商检制度&台账/三-4-1 制度,单项标准,上传包括对应规定的进出境商检与进出口法检制度文件和动植物及产品监管文件，上传即为通过,,上传即为通过,,,,,否
制度,客户服务部进出境商检与进出口法检制度,三、动植物检疫业务/三-4 商检制度&台账/三-4-1 制度,单项标准,上传包括对应规定的进出境商检与进出口法检制度文件和动植物及产品监管文件，上传即为通过,,上传即为通过,,,,,否
进境商检查验管理台账,历年进境商检查验管理台账,三、动植物检疫业务/三-4 商检制度&台账/三-4-2 进境商检查验管理台账,单项标准,上传包括对应规定的进出境商检与进出口法检制度文件和动植物及产品监管文件，上传即为通过,,上传即为通过,,,,,否
抽查单证,历年抽查单证文件夹,三、动植物检疫业务/三-4 商检制度&台账/三-4-3 抽查单证,单项标准,上传包括对应规定的进出境商检与进出口法检制度文件和动植物及产品监管文件，上传即为通过,,上传即为通过,,,,,否
熏蒸板记录,空置熏蒸板存放区文件,三、动植物检疫业务/三-4 商检制度&台账/三-4-4 熏蒸板记录,单项标准,上传包括对应规定的进出境商检与进出口法检制度文件和动植物及产品监管文件，上传即为通过,,上传即为通过,,,,,否
熏蒸板记录,整进整出熏蒸板记录文件,三、动植物检疫业务/三-4 商检制度&台账/三-4-4 熏蒸板记录,单项标准,上传包括对应规定的进出境商检与进出口法检制度文件和动植物及产品监管文件，上传即为通过,,上传即为通过,,,,,否
遵守法律法规,管理层声明书,三、遵守法律法规/6.遵守法律法规/6-15-1 管理层声明书,审计部,记录核查：<br>提取上传资料中无犯罪证明内容是否与后台输入信息完全匹配，匹配则通过。,-,上传即为通过,,,参考检测需求：14-22. 守法规范 (17)（关于自查与被查的处罚金额与比例）,,否
历年特殊物品单证,nan,单项标准/二、卫生检疫业务/ 二-1 特殊物品单证,全部（所有角色和部门）,上传历年特殊物品单证材料，上传即为通过,,上传即为通过,,,,,否
进境商检查验管理台账历年纪录,nan,单项标准/三、动植物检疫业务/ 三-2 进境商检查验管理台账历年纪录,全部（所有角色和部门）,nan,,上传即为通过,,,,,否
抽查单证文件,nan,单项标准/三、动植物检疫业务/ 三-3 抽查单证文件,全部（所有角色和部门）,nan,,上传即为通过,,,,,否
历年法检查验管理台账,历年法检查验管理台账,五、进出口商品检验业务/五-2 历年法检查验管理台账,全部（所有角色和部门）,nan,,上传即为通过,,,,,否
历年抽查单证文件,历年抽查单证文件,五、进出口商品检验业务/五-3 历年抽查单证文件,全部（所有角色和部门）,nan,,上传即为通过,,,,,否
系统复审界面截屏,系统复审界面截屏,单项标准/六、代理报关业务/六-2 系统复审界面截屏,全部（所有角色和部门）,上传系统复审界面截屏文件，上传即为通过,,上传即为通过,,,,,否
历年退改单率统计,历年退改单率统计,单项标准/六、代理报关业务/六-3 历年退改单率统计,全部（所有角色和部门）,上传历年退改单率统计文件，上传即为通过,,上传即为通过,,,,,否
历年单一窗口数据取值截屏,历年单一窗口数据取值截屏,单项标准/六、代理报关业务/六-4 历年单一窗口数据取值截屏,全部（所有角色和部门）,上传历年单一窗口数据取值截屏文件，上传即为通过,,上传即为通过,,,,,否
系统逻辑检验截屏,系统逻辑检验截屏,单项标准/六、代理报关业务/六-5 系统逻辑检验截屏,全部（所有角色和部门）,上传系统逻辑检验截屏文件，上传即为通过,,上传即为通过,,,,,否
历年单证抽取记录,历年单证抽取记录,单项标准/六、代理报关业务/六-6 历年单证抽取记录,全部（所有角色和部门）,上传历年单证抽取记录，包括出口、出境、进口、进境，上传即为通过,,上传即为通过,,,,,否
海关法律法规培训管理办法,海关法律法规培训管理办法,单项标准/六、代理报关业务/六-7 海关法律法规培训管理办法,全部（所有角色和部门）,上传海关法律法规培训管理办法文件，上传即为通过,,上传即为通过,,,,,否
客户海关法律法规培训签到记录和培训课件,客户海关法律法规培训签到记录和培训课件,单项标准/六、代理报关业务/六-8 客户海关法律法规培训签到记录和培训课件,全部（所有角色和部门）,上传客户海关法律法规培训签到记录和培训课件，上传即为通过,,上传即为通过,,,,,否
延伸认证情况说明文件,延伸认证情况说明文件,单项标准/六、代理报关业务/六-9 延伸认证情况说明文件,全部（所有角色和部门）,上传延伸认证情况说明文件，上传即为通过,,上传即为通过,,,,,否
车辆司机匹配信息,车辆司机匹配信息,单项标准/八、物流运输业务/八-2 车辆司机匹配信息,全部（所有角色和部门）,上传车辆司机匹配信息，上传即为通过,,上传即为通过,,,,,否
审计报告,历年年度财务审计报告,二、财务状况标准/5.财务状况/5-13 审计报告,财务,<br>1. **合格审计报告：**至少有一份会计师事务所审计报告；报告中必须包含“无保留意见”，且不能有“无法出具”、“有保留意见”的表述；公司存续期间每年都有对应的审计报告。,-,AI内容理解,qwen3-vl-plus,,参考检测需求：【财务部】综合财务状况【审计意见+负债率】,,否
资产负债率情况,资产负债率情况,二、财务状况标准/5.财务状况/5-14 资产负债率情况,财务,<br>2. **负债率：**近5年审计报告中，不存在连续5年负债率（期末负债合计 / 资产总计）大于95.0%的情况。,-,AI内容理解,qwen3-vl-plus,,参考检测需求：【财务部】综合财务状况【审计意见+负债率】,,否
遵守法律法规,无犯罪记录证明,三、遵守法律法规/6.遵守法律法规/6-15-2 无犯罪记录证明,审计部,主要负责人员清单都有对应名字的无犯罪记录证明,-,AI内容理解,qwen3-vl-plus,,参考检测需求：14-22. 守法规范 (17)（关于自查与被查的处罚金额与比例）,,否
行政被处罚金额,处罚单,三、遵守法律法规/6.遵守法律法规/6-16 处罚单,审计部,上传的所有报关单中，包括“行政处罚”的报关单中，对应处罚金额总计不超过或等于5万,-,AI内容理解,qwen3-vl-plus,,,,否
被处罚单比例小于报关千分之一,处罚单,三、遵守法律法规/6.遵守法律法规/6-16 处罚单,审计部,"根据用户主动填写的报关单总数，结合上传的被处罚报关单数（每一张处罚单对应一张被处罚的报关单），计算：
1. 存在被查处罚（不存在“经自查”字段）的报关单 / 报关单总数，结果小于千分之一。",-,AI内容理解,qwen3-vl-plus,,,,否
关企联系合作机制,关企联系合作机制文件,一、内部控制标准/1.关企沟通联系合作/1-1 关企联系合作机制,人事,需要上传关企联系合作机制文件，AI检测第一页包括“关企联系工作”或“关企联系合作机制”即为通过,“关企联系工作”或“关企联系合作机制”,关键词检测,qwen3-vl-plus,,,,否
岗位职责,岗位任职条件和职责文件,一、内部控制标准/1.关企沟通联系合作/1-2 岗位职责,人事,2）上传贸易安全岗位任命书，包含“贸易安全”则通过,“贸易安全”,关键词检测,qwen3-vl-plus,,,,否
岗位职责,任命书（贸易安全）,一、内部控制标准/1.关企沟通联系合作/1-2 岗位职责,人事,3）上传岗位职责和任职条件书，前2页识别包括“岗位职责”，则通过,“岗位职责”,关键词检测,qwen3-vl-plus,,,,否
系统操作手册,用户上传到这个文件夹内的所有操作系统手册,一、内部控制标准/3.信息系统/3-7 信息系统说明/3-7-1 系统操作手册,行政,上传内部相关信息系统的操作手册，例如仓储系统、财务系统等，AI检测首页包含“操作手册”、“操作说明”内容即为通过,“操作手册”、“操作说明”,关键词检测,qwen3-vl-plus,,,,否
制度,信息安全管理手册,一、内部控制标准/3.信息系统/3-8 系统数据的保管/3-8-1 制度,行政,上传IT信息安全管理手册制度文件以及电子数据库留存三年的截图，信息安全管理手册前2页内容包括“信息安全管理”即为通过,“信息安全管理”,关键词检测,qwen3-vl-plus,,,,否
制度,IT信息安全管理手册,一、内部控制标准/3.信息系统/3-8 系统数据的保管/3-8-1 制度,行政,上传IT信息安全管理手册制度文件以及电子数据库留存三年的截图，信息安全管理手册前2页内容包括“信息安全管理”即为通过,“信息安全管理”,关键词检测,qwen3-vl-plus,,,,否
制度,公司员工手册,一、内部控制标准/3.信息系统/3-9 信息安全管理制度/3-9-1 制度,行政,上传IT信息安全管理手册制度文件以及员工手册文件，信息安全管理手册前两页包括“信息安全管理”，员工手册前两页包括“员工手册”即为通过,“信息安全管理”、“员工手册”,关键词检测,qwen3-vl-plus,,,,否
制度,IT信息安全管理手册,一、内部控制标准/3.信息系统/3-9 信息安全管理制度/3-9-1 制度,行政,上传IT信息安全管理手册制度文件以及员工手册文件，信息安全管理手册前两页包括“信息安全管理”，员工手册前两页包括“员工手册”即为通过,“信息安全管理”、“员工手册”,关键词检测,qwen3-vl-plus,,,,否
制度,信息安全管理手册,一、内部控制标准/3.信息系统/3-9 信息安全管理制度/3-9-1 制度,行政,上传IT信息安全管理手册制度文件以及员工手册文件，信息安全管理手册前两页包括“信息安全管理”，员工手册前两页包括“员工手册”即为通过,“信息安全管理”、“员工手册”,关键词检测,qwen3-vl-plus,,,,否
进出口单证复核制度,进出口单证复核制度(文件夹),一、内部控制标准/2.进出口单证/2-3 进出口单证复核制度,关务,上传单证复核流程制度文件以及内部复核抽查文件，流程制度文件首页包括“单证复核流程”内容即为通过,“单证复核流程”,关键词检测,qwen3-vl-plus,,,,否
进出口单证保管制度,单证归档管理制度(文件夹),一、内部控制标准/2.进出口单证/2-4 进出口单证保管制度,关务,分别上传对应年份纸质和电子单证归档管理制度文件，首页识别包含“电子单证归档管理”内容，即为通过,“单证归档”,关键词检测,qwen3-vl-plus,,,,否
禁止类产品合规审查制度,禁止类产品合规审查制度(文件夹),一、内部控制标准/2.进出口单证/2-5 禁止类产品合规审查制度,关务,上传禁止类产品合规审查制度文件、官方公布的禁限类产品的公告和目录文件、无禁限类产品入库的比对记录文件、进出口流程管理制度文件，上传即为通过<br>1）进出口货物安全准入制度首页识别，包括“HS CODE/原产国/MSDS/货物性质”、“安全准入”内容<br>2）禁止类产品合规审查制度文件，包括“禁止类产品合规审查”内容，即为通过<br>3）其他上传即为通过,“HS CODE/原产国/MSDS/货物性质”、“安全准入”、“禁止类产品合规审查”,关键词检测,qwen3-vl-plus,,,,否
进出口单证复核制度,进出口单证复核制度,单项标准/一、加工贸易以及保税进出口业务/一-1 进出口单证复核制度,全部,上传单证复核流程制度文件以及内部复核抽查文件，流程制度文件首页包括“单证复核流程”内容即为通过,“复核”,关键词检测,qwen3-vl-plus,,,,否
进出口单证保管制度,进出口单证保管制度,单项标准/一、加工贸易以及保税进出口业务/一-2 进出口单证保管制度,全部,上传单证复核流程制度文件以及内部复核抽查文件，流程制度文件首页包括“单证复核流程”内容即为通过,“单证管理”,关键词检测,qwen3-vl-plus,,,,否
历年特殊物品单证管理及复核制度文件,历年特殊物品单证管理及复核制度文件,单项标准/二、卫生检疫业务/ 二-2 特殊物品单证管理及复核制度,全部,上传历年特殊物品单证管理及复核制度文件：包含关键字“单证管理”或“复核”通过,“单证管理”或“复核”,关键词检测,qwen3-vl-plus,,,,否
商品检查与进出口法检制度,商品检查与进出口法检制度,单项标准/三、动植物检疫业务/ 三-1 商品检查与进出口法检制度,全部,上传商品检查与进出口法检制度文档：包含“商检”或“法检”关键字即为通过,“商检”或“法检”,关键词检测,qwen3-vl-plus,,,,否
特殊物品安全管理制度,特殊物品安全管理制度,单项标准/五、进出口商品检验业务/ 五-1 特殊物品安全管理制度,全部,上传特殊物品安全管理制度：包含“商检”或“法检”关键字即为通过,“商检”或“法检”,关键词检测,qwen3-vl-plus,,,,否
进出口单证及复核制度文件,进出口单证及复核制度文件,单项标准/六、代理报关业务/ 六-1 进出口单证及复核制度文件,全部,上传进出口单证及复核制度文件，并包括关键字“进出口单证”则为通过,“进出口单证”,关键词检测,qwen3-vl-plus,,,,否
车辆管理制度,车辆管理制度,单项标准/八、物流运输业务/八-1 车辆管理制度,全部,上传车辆管理制度相关文件：包括关键字“车辆管理”即为通过,“车辆管理”,关键词检测,qwen3-vl-plus,,,,否
